名字,评分,户型,出租类型,可住,价格,图片地址,城市
【原宿•馥芮白】浴缸/玫瑰浴/巨幕投影/成都东站步行3分钟/地铁直达春熙路太古里,"
                                        4.9
                                    ",1室,整租,宜住2人,￥388,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
<夏室Oasix>逃进城市里的奇异绿洲/太古里ifs春熙路兰桂坊/投影蓝牙音响,"
                                        4.8
                                    ",1室,整租,宜住2人,￥248,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
<夏室Summer>夏日时光进度条/太古里ifs春熙路猛追湾339/高清投影,"
                                        4.7
                                    ",1室,整租,宜住2人,￥248,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【可以免费做饭】已消毒日式榻榻米春熙路太古里熊猫基地一居,"
                                        4.8
                                    ",1室,整租,宜住2人,￥100,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
<夏室We11Done>醒在城市的静谧之地/太古里春熙路私人花园/浴缸/投影音响,"
                                        4.8
                                    ",1室,整租,宜住2人,￥248,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
<夏室For3st>住进城市中央森林/270度高空俯瞰太古里/太古里ifs春熙路,"
                                        4.9
                                    ",1室,整租,宜住4人,￥588,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
＜夏室invis3＞停在城市高空天际线/意式ArtDeco风/高空俯瞰成都熊猫塔/高清投影蓝牙音响,"
                                        5.0
                                    ",1室,整租,宜住4人,￥588,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
长租/短租/简欧大床房/近动物园/熊猫基地/3号线/7号线,"
                                        2.0
                                    ",1室,整租,宜住2人,￥108,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【故知-海风】 小红书推荐|背靠春熙路太古里|稀缺72㎡开间|极米投影|三地铁房,"
                                        4.7
                                    ",1室,整租,宜住2人,￥268,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【灰调】春熙路太古里/宽窄巷子/文殊院地铁口一居,"
                                        4.9
                                    ",1室,整租,宜住2人,￥428,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
<夏室Fourest>城市高空的暹罗花园/270度高空俯瞰太古里ifs春熙路/极米投影/马歇尔音响,"
                                        4.9
                                    ",1室,整租,宜住4人,￥528,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
<夏室Rose7en>住进城市的后花园/loft投影/浴缸独立花园/太古里春熙路,"
                                        5.0
                                    ",1室,整租,宜住2人,￥248,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
<夏室9uiet> 寻找城市里的宁静/LOFT阳**立花园/太古里ifs春熙路339/高清投影/音响,"
                                        4.9
                                    ",1室,整租,宜住2人,￥288,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
拾光【黛.娜】近宽窄巷子/文殊院/熊猫基地/春熙路/太古里/loft/可住4人,"
                                        4.6
                                    ",2室,整租,宜住4人,￥488,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
锦里蝴蝶3床套二武侯祠锦里宽窄巷子春熙路太古里华西363天府广场,"
                                        5.0
                                    ",2室,整租,宜住5人,￥268,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【旅人与酒806】春熙路太古里/投影落地窗大套三双卫/全棉床品/厨房,"
                                        4.9
                                    ",3室,整租,宜住6人,￥299,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【道缘居A】都江堰风景区门口.南桥.西街.古城区.间欧小清新风格简约风格快铁站旁,"
                                        5.0
                                    ",1室,整租,宜住4人,￥298,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
文殊院宽窄巷子太古里loft一居,"
                                        4.9
                                    ",1室,整租,宜住2人,￥458,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【简.印】近地铁口/两室一厅双空调/适合4人,"
                                        5.0
                                    ",2室,整租,宜住4人,￥268,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
镇中心交通要道 地铁2号线和6号线 瑞缘民宿 单间,"
                                        5.0
                                    ",3室,单间出租,宜住2人,￥130,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
国庆二天起订/春熙路 天府广场 地铁一二号线盐市口 套二三床 收押金,"
                                        5.0
                                    ",2室,整租,宜住6人,￥435,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
瞰太古里 IFS 春熙路 全景一室一厅,"
                                        5.0
                                    ",1室,整租,宜住2人,￥988,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
成都天蓝公寓【长租／短租】熊猫基地温馨二居室/宽窄巷子/动物园/地铁三号线/东站,"
                                        5.0
                                    ",2室,整租,宜住4人,￥498,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【和煦の风】九眼桥川音附近正看合江亭江景房,"
                                        4.9
                                    ",1室,整租,宜住2人,￥999,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
伊藤 地铁 家乐福 大学城 带机麻 豪华套房,"
                                        4.9
                                    ",3室,整租,宜住7人,￥368,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
超赞高端全景窗 | 春熙路  宽窄巷子 东站|双地铁万象城简欧影院大三居豪华套房,"
                                        5.0
                                    ",3室,整租,宜住6人,￥457,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
桐梓林地铁口LOFT 两居,"
                                        4.9
                                    ",2室,整租,宜住4人,￥428,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
紧邻成都东客站 宇玲小姐家 温馨大床房,"
                                        4.4
                                    ",1室,单间出租,宜住2人,￥88,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
灰粉太古里步行双地铁大床乳胶枕一居,"
                                        5.0
                                    ",1室,整租,宜住2人,￥318,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
宽窄巷子 杜甫草堂附近大床房,"
                                        4.9
                                    ",1室,整租,宜住2人,￥128,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
"A区敞亮屋,高升桥地铁口, 步行可至武侯祠锦里","
                                        5.0
                                    ",2室,整租,宜住4人,￥268,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【唯爱驿站】春熙路太古里天府广场地铁一二号线/精致（海贼王）二居/低价长租,"
                                        5.0
                                    ",2室,整租,宜住4人,￥325,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
地铁二号线龙泉驿站A出口/春华田园风观景二居,"
                                        5.0
                                    ",2室,整租,宜住6人,￥268,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
65288;自费接送65289;双流机场航空港双1.5米大床简欧主题家庭房闺蜜房,"
                                        4.9
                                    ",1室,整租,宜住4人,￥198,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
草堂北路地铁站附近 精装套二,"
                                        4.8
                                    ",2室,整租,宜住4人,￥198,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
cici短租.精选(交大店)65288;V.自由65289;,"
                                        4.9
                                    ",1室,整租,宜住2人,￥199,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【楼下即太古里】1号/100寸投影/春熙路东门大桥地铁站/大床/带阳台靠花园安静,"
                                        4.7
                                    ",1室,整租,宜住2人,￥168,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【The House雅居】Panda壹·近夜猫子夜市.宽窄巷子.奎星楼街,"
                                        4.9
                                    ",2室,整租,宜住4人,￥198,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
新升级巨幕投影房-市中心-临宽窄巷子-近春熙路太古里-文殊院地铁H口-投影大床房,"
                                        4.9
                                    ",1室,整租,宜住2人,￥188,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
东方新城二期东站对面.舒适大两居,"
                                        4.7
                                    ",2室,整租,宜住4人,￥288,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
杜甫草堂附近地中海风情短租,"
                                        5.0
                                    ",1室,整租,宜住2人,￥168,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
『时梦』锦城苑loft 全视野民族风一室一厅,"
                                        4.6
                                    ",1室,整租,宜住4人,￥298,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
润扬双铁广场 犀铺地铁口靠交大宜家风格两居室,"
                                        4.7
                                    ",2室,整租,宜住4人,￥269,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
崇州市小清新装修风格整套出租,"
                                        5.0
                                    ",1室,整租,宜住2人,￥168,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
双流机场/民大旁边/地铁10号线/东航中心/豪华一居/可洗衣做饭,"
                                        5.0
                                    ",1室,整租,宜住2人,￥158,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
宽窄巷子 美式复古 一居室,"
                                        5.0
                                    ",1室,整租,宜住2人,￥208,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
武侯祠锦里地铁口精装三房体验,"
                                        5.0
                                    ",3室,整租,宜住7人,￥456,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
套一近欢乐谷 凯德广场  茶店子,"
                                        5.0
                                    ",1室,整租,宜住2人,￥158,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
原筑·涵舍/都江堰景区/古城内,"
                                        5.0
                                    ",3室,整租,宜住6人,￥899,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
成都天蓝公寓【长租／短租】近熊猫基地 黄金位置 景观熊猫基地 宽窄巷 锦里,"
                                        5.0
                                    ",3室,整租,宜住6人,￥758,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
温江大学城 地铁首座 花语家庭温馨大床房,"
                                        4.7
                                    ",1室,整租,宜住2人,￥139,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
西华大学附近地中海风情一居室,"
                                        5.0
                                    ",1室,整租,宜住2人,￥128,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
春熙路/太古里/有院/有塘/前锋路/双地铁口日式清新超大露-台三居室整租,"
                                        5.0
                                    ",3室,整租,宜住6人,￥390,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
成都家在旅途春熙路太古里舒适大床房,"
                                        4.7
                                    ",1室,整租,宜住2人,￥118,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
温江大学城地铁 首座花语 家庭温馨公寓,"
                                        4.7
                                    ",1室,整租,宜住2人,￥139,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
春熙路天府广场/盐市口/浴缸/榻榻米大一居/低价长租,"
                                        5.0
                                    ",1室,整租,宜住2人,￥225,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
火车东站雨玲小姐家独卫柔蓝大床房,"
                                        5.0
                                    ",5室,单间出租,宜住2人,￥158,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【唯爱驿站】春熙路三居三卫/电梯/空调/灭蚊器/5天包接送（限双流机场和车站,"
                                        4.8
                                    ",3室,整租,宜住8人,￥625,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
成都家在旅途春熙路太古里舒适双床房,"
                                        4.9
                                    ",1室,整租,宜住4人,￥148,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
春熙路太古里商圈  落地窗大床房,"
                                        5.0
                                    ",4室,单间出租,宜住2人,￥100,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
高新西区百草路地铁口附近豪华大床房,"
                                        5.0
                                    ",1室,整租,宜住2人,￥268,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
紧邻火车东站/春熙路－太古里一居,"
                                        5.0
                                    ",1室,整租,宜住2人,￥219,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
春熙路王府井跃层套房,"
                                        5.0
                                    ",3室,整租,宜住6人,￥260,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【The House雅居】电影主题•近宽窄巷子新城市广场,"
                                        4.9
                                    ",1室,整租,宜住4人,￥198,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
世纪城会展环球中心/书吧棋牌投影/跃层五居室,"
                                        4.7
                                    ",5室,整租,宜住11人,￥888,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【可停车/可做饭】文殊院/春熙路/339电视台 大二居 ins风 可住4-5人,"
                                        4.5
                                    ",2室,整租,宜住4人,￥280,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
成都宽窄巷子天府广场茶艺超大套三麻将房(雨后),"
                                        5.0
                                    ",3室,整租,宜住7人,￥368,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
成都双流机场北京华联大床房,"
                                        5.0
                                    ",1室,整租,宜住2人,￥139,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
红光上锦华西医院 三居室,"
                                        5.0
                                    ",3室,整租,宜住8人,￥228,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
武侯祠、锦里、宽窄巷子商务大床房,"
                                        4.8
                                    ",1室,整租,宜住2人,￥138,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
地铁一号线 MrS陈～阳光书宿,"
                                        4.6
                                    ",1室,整租,宜住2人,￥218,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
川师成龙校区 独卫,"
                                        5.0
                                    ",7室,单间出租,宜住2人,￥88,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
川师成龙校区 精装实惠一居,"
                                        4.7
                                    ",8室,单间出租,宜住2人,￥46,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【The House雅居】欧式田园•近夜猫子夜市.宽窄巷子.奎星楼街,"
                                        5.0
                                    ",2室,整租,宜住4人,￥198,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
华西尚锦南府对面 三居室,"
                                        4.3
                                    ",3室,整租,宜住6人,￥218,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【唯爱驿站】春熙路 太古里天府广场 地铁一二号线盐市口/机麻套三/收押金,"
                                        5.0
                                    ",3室,整租,宜住6人,￥435,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
理工大学 电子科技大 SM广场 成都东站万象城闲情小站舒适套一房,"
                                        5.0
                                    ",1室,整租,宜住2人,￥228,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
栖梦民宿【D dream land】阳光花园房,"
                                        5.0
                                    ",1室,整租,宜住2人,￥438,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
市中心-近宽窄巷子-春熙路太古里-文殊院地铁H出口-温馨大床房整租,"
                                        4.9
                                    ",1室,整租,宜住2人,￥188,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
近文殊院地铁站 | 近宽窄巷子舒适套房,"
                                        4.4
                                    ",1室,整租,宜住2人,￥268,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
成都青青我家短租公寓大床（中医药大学省医院店,"
                                        4.9
                                    ",1室,整租,宜住2人,￥138,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【月租】蔚蓝天空/春熙路太古里/天府广场双铁/一居室/低价长租,"
                                        5.0
                                    ",1室,整租,宜住4人,￥258,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
都江堰景区步行可达/机麻棋牌/宽敞舒适全屋空调,"
                                        5.0
                                    ",4室,整租,宜住8人,￥398,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【唯爱驿站】春熙路IFS太古里天府广场一二号线交汇北欧风格/低价长租,"
                                        5.0
                                    ",1室,整租,宜住2人,￥225,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
地铁犀浦站loft新房大床房地铁直达/春熙、太古里,"
                                        5.0
                                    ",1室,整租,宜住2人,￥238,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
双流机场/川大旁/地铁8号线/豪华温馨跃层Loft/无接触入住/可洗衣做饭,"
                                        5.0
                                    ",1室,整租,宜住2人,￥208,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【The House雅居】Panda贰•宽窄巷子新城市广场简约,"
                                        4.5
                                    ",2室,整租,宜住4人,￥198,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
锦里*华西*玉林*欧式新古典跃层两居,"
                                        5.0
                                    ",2室,整租,宜住4人,￥488,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
春熙路太古里IFS：北欧风情A,"
                                        5.0
                                    ",1室,整租,宜住2人,￥288,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
套一近茶店子人人乐欢乐谷一品天下近6号地铁,"
                                        4.9
                                    ",1室,整租,宜住2人,￥158,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
春熙路太古里IFS：北欧风公主房A,"
                                        4.9
                                    ",1室,整租,宜住2人,￥288,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【唯爱驿站】天府广场地铁一二号线春熙路太古里盐市口套一加沙发床 /低价长租,"
                                        4.9
                                    ",1室,整租,宜住2人,￥195,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
寬窄巷子 文殊院 太古里 不慕仙度假獨立屋一居,"
                                        5.0
                                    ",1室,整租,宜住2人,￥888,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
上锦南府医院华西分院温馨三居室,5.0,3室,整租,宜住7人,￥268,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
成都机场川大8分钟锦里春熙路半小时精致小家,"
                                        5.0
                                    ",1室,整租,宜住1人,￥188,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【留蜀】宽窄巷子 ins投影 人民公园,"
                                        5.0
                                    ",2室,整租,宜住4人,￥351,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
套二阁楼北欧主题一品天下凯德广场茶店子欢乐谷近6号线,"
                                        4.8
                                    ",2室,整租,宜住4人,￥158,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
成都宽窄巷子卷舒堂印象美洲海岸精致房,"
                                        4.5
                                    ",1室,整租,宜住3人,￥298,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
 成都东站 火车东站 2号线地铁 田园三居室 日租房,"
                                        5.0
                                    ",3室,整租,宜住6人,￥268,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
标间在上锦南府华西医院对面民宿,"
                                        4.5
                                    ",6室,单间出租,宜住4人,￥89,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
"成都天府广场武侯祠机麻套房两室一厅精品套房
地铁口","
                                        4.9
                                    ",2室,整租,宜住5人,￥399,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
紧邻成都火车东站 宇玲小姐家   独卫大床房,"
                                        4.7
                                    ",5室,单间出租,宜住2人,￥128,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
成都火车东站附近 春意单间,"
                                        5.0
                                    ",5室,单间出租,宜住1人,￥78,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
春熙路王府井一室一厅套房,"
                                        5.0
                                    ",1室,整租,宜住2人,￥210,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
南府医院华西分院 单间 可洗衣煮饭,"
                                        4.8
                                    ",3室,单间出租,宜住2人,￥80,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【高清巨幕投影】【100米内吃遍宽窄巷子20家美食】【150平精装北欧双卫舒居】,"
                                        5.0
                                    ",3室,整租,宜住6人,￥1500,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
四川大学华西医院上锦分院整租三居室,"
                                        4.8
                                    ",3室,整租,宜住8人,￥188,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
春熙路 太古里附近一居室整租,"
                                        4.8
                                    ",1室,整租,宜住2人,￥98,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
（榻榻米书吧）春熙路太古里/西华大学/电子科大/四川传媒/青城山都江堰（可长租）,"
                                        4.8
                                    ",2室,整租,宜住5人,￥298,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
紧邻成都东站 幸运屋 星绿单间,"
                                        5.0
                                    ",5室,单间出租,宜住1人,￥78,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
成都家在旅途春熙路太古里家庭双卧套房,"
                                        4.8
                                    ",2室,整租,宜住4人,￥158,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
成都宽窄巷子卷舒堂印象熊猫主题套房,"
                                        4.5
                                    ",2室,整租,宜住3人,￥278,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
归蜀 湖镜 春熙路 IFS 太古里,"
                                        4.6
                                    ",2室,整租,宜住4人,￥468,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
成都火车东站旁精致小单间房,"
                                        4.8
                                    ",5室,单间出租,宜住1人,￥58,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
紧靠地铁3号线新南门站迷你双人房,"
                                        4.7
                                    ",1室,整租,宜住1人,￥78,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
天府广场、春熙路商圈商务单人间,"
                                        4.5
                                    ",1室,整租,宜住2人,￥128,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【The House雅居】星月•近夜猫子夜市.宽窄巷子.奎星楼街,"
                                        5.0
                                    ",1室,整租,宜住4人,￥198,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
紧挨四川大学豪华标准双床房,"
                                        4.5
                                    ",1室,整租,宜住4人,￥168,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
凯德广场 loft2居室温馨简约风,"
                                        3.0
                                    ",2室,整租,宜住2人,￥188,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
华西医院附二院西藏成办武侯祠锦里房一居,"
                                        4.5
                                    ",1室,整租,宜住4人,￥218,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
温江大学城地铁首座花语家庭温馨公寓,"
                                        5.0
                                    ",1室,整租,宜住2人,￥159,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
田园小清新风格大床房,5.0,1室,整租,宜住2人,￥178,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
紧邻成都东站 等花开 蓝色梦单间,"
                                        5.0
                                    ",5室,单间出租,宜住1人,￥58,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
机场近川大蓝色田园风温馨浪漫小套房,"
                                        5.0
                                    ",1室,整租,宜住2人,￥178,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
二号线茶店子车站金沙宽窄巷子欢乐谷茶小二居室,"
                                        5.0
                                    ",1室,整租,宜住4人,￥198,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
市二医院門吉小屋 黑白系列 大床房,"
                                        5.0
                                    ",1室,整租,宜住2人,￥286,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【secome可临】武侯祠锦里地铁直达春熙路太古里,"
                                        5.0
                                    ",1室,整租,宜住2人,￥220,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
大地新光华杜甫草堂精装大床房,"
                                        4.8
                                    ",1室,整租,宜住2人,￥168,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
地铁1号线四河站A口/标准套一/软件园/世纪城会展/文殊院/可以做饭，免费开发票,"
                                        5.0
                                    ",1室,整租,宜住2人,￥108,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
二号线茶店子车站金沙宽窄巷子欢乐谷茶小一居室,"
                                        4.8
                                    ",1室,整租,宜住3人,￥140,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
地铁四号线宽窄巷子双地铁尚居loft套三三床房,"
                                        5.0
                                    ",3室,整租,宜住5人,￥368,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
火车东站春色浪漫大床房,"
                                        5.0
                                    ",5室,单间出租,宜住2人,￥88,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
春熙路商圈迷你单人间,"
                                        4.3
                                    ",1室,整租,宜住2人,￥78,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
♛100寸投影♛龙湖上层♞高层景观地铁口房_欢乐谷宽窄巷子春熙路熊猫动物园,"
                                        5.0
                                    ",3室,整租,宜住6人,￥398,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
紧邻火车东站小阳台单人床,"
                                        5.0
                                    ",5室,单间出租,宜住1人,￥68,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
锦里、宽窄巷子商务大床房,"
                                        5.0
                                    ",1室,整租,宜住2人,￥138,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
