名字,评分,户型,出租类型,可住,价格,图片地址,城市
春熙路太古里步行街旁大床房/双地铁/市区景点,5.0,1室,整租,3,89,//pics.muniao.com//UploadFiles/root/room/20172/thumb/b1d89213897c44a880dd64f26c23884f.jpg_414_262.jpg,chengdu
柠檬公寓之忆锦湾/锦里华西武侯祠宽窄巷子 三居室,4.9,3室,整租,8,1299,//pics.muniao.com//UploadFiles/root/room/279560/thumb/a46e3df619a24ae690ea0c43df8763d9.jpg_414_262.jpg,chengdu
火车南站森林系北欧日式3居套房,4.0,3室,整租,6,466,//pics.muniao.com//UploadFiles/root/room/278523/thumb/92856106e72f44df8a1e251820d43cbe.jpg_414_262.jpg,chengdu
春熙路宽窄巷子旁双地铁温馨套一,5.0,1室,整租,2,218,//pics.muniao.com//UploadFiles/root/room/276840/thumb/6e9a75dfaec04dc79578c97d48d5d8a6.jpg_414_262.jpg,chengdu
大邑花水湾温泉度假～泳情别墅5室6床10-12人,5.0,5室,整租,12,1399,//pics.muniao.com//UploadFiles/root/thumb/230712/30be6485c31246399993589e53b09494.jpg_414_262.jpg,chengdu
地铁二号线龙泉驿站A出口/冬暖/田园风精品二居,4.9,2室,整租,6,268,//pics.muniao.com//UploadFiles/root/room/272987/thumb/0ae57ba627f74ff1b746c1ee21f7cc68.jpg_414_262.jpg,chengdu
玉林西路小酒馆/锦里/武侯祠/春熙路/大床房,4.2,1室,整租,2,318,//pics.muniao.com//UploadFiles/root/room/271576/thumb/46e9fb99a80c49da8719c0f65e5b58c3.jpg_414_262.jpg,chengdu
【溪水旁】建设巷/东郊记忆/电子科技大学/开放式厨房+婴儿床/温馨一居室,5.0,1室,整租,3,338,//pics.muniao.com//UploadFiles/thumb/image/20181113/8bdcd7b7bd6d402da11a8063e4e5b5ea20181113124504296.jpg_414_262.jpg,chengdu
粉色少女风 川师地铁口 龙舟路三圣花乡四川师范大学旁精装大床房,5.0,1室,整租,2,168,//pics.muniao.com//UploadFiles/root/room/249220/thumb/90e885b29c1547f69b21391b1682eb56.jpeg_414_262.jpeg,chengdu
青城山景区附近别墅温馨花园套房,5.0,2室,整租,4,1088,//pics.muniao.com//UploadFiles/thumb/image/20180915/040175fa95d0401ca5775ab98649beb620180915124550518.jpg_414_262.jpg,chengdu
慢山花园7号别墅成都花水湾温泉西岭雪山三居室,5.0,3室,整租,7,860,//pics.muniao.com//UploadFiles/thumb/image/20180904/2ea02953c9ef421d9252cd60a76fe2b620180904143046800.jpg_414_262.jpg,chengdu
双楠/地铁3号线/少陵路/伊藤洋华堂/宽窄巷/锦里/草堂/金沙/成都职业技术学院,5.0,1室,整租,2,167,//pics.muniao.com//UploadFiles/thumb/image/20180810/f306bf0d583d48a187f2d8ef2a37e05a20180810231904337.jpg_414_262.jpg,chengdu
近成都东站 川师附近 地铁房 可直达春熙路 宽窄巷子万科品质温馨套房,5.0,3室,整租,5,368,//pics.muniao.com//UploadFiles/thumb/image/20180621/ad9150b3da3343bfb461309c721b4afb20180621092728968.jpg_414_262.jpg,chengdu
趣住chic inn/家有萌喵/全屋榻榻米/市中心紧邻宽窄巷子，春熙路，太古里,5.0,2室,单间出租,2,178,//pics.muniao.com//UploadFiles/thumb/image/20180626/82581e85e93843979de073f6dc07b96120180626101709473.jpg_414_262.jpg,chengdu
宽窄巷子1/人民公园两居室 ,4.0,2室,整租,3,188,//pics.muniao.com//UploadFiles/thumb/image/20180611/b2d5691abb8a4343895e615a2ed1598b20180611095237433.jpg_414_262.jpg,chengdu
【青城山玖零驿站】四居免费做饭机麻,5.0,4室,整租,10,998,//pics.muniao.com//UploadFiles/thumb/image/20181228/e14593d68b7d47ef98447138a949ca3e20181228203431703.jpg_414_262.jpg,chengdu
锦里/宽窄巷子/武侯祠/草堂附近带厨房一居室室,5.0,1室,整租,2,268,//pics.muniao.com//UploadFiles/thumb/image/20180807/9c427c5bc57249b5a2b62740224da5ab20180807235049235.jpg_414_262.jpg,chengdu
成都天府广场，宽窄巷子，春熙路，太古里温馨一居,4.5,1室,整租,2,228,//pics.muniao.com//UploadFiles/thumb/image/20180424/0cf2592443264c4c9bda7aca225ce87320180424234004575.jpg_414_262.jpg,chengdu
2人住单间，文化宫4、7号线地铁旁，单间,5.0,3室,单间出租,2,128,//pics.muniao.com//UploadFiles/thumb/image/20180427/c9867e55c625489a87bb433dae69996320180427212729405.jpg_414_262.jpg,chengdu
【简·纯】ins风/IFS/太古里/3、4号线地铁一室一厅双床套房双空调/投影,5.0,1室,整租,4,208,//pics.muniao.com//UploadFiles/root/room/181212/thumb/1f4e2733b9e44feaaeb95a348885f8e7.jpg_414_262.jpg,chengdu
【简·漫】春熙路/IFS/太古里/双地铁。适合爱美爱拍照的小仙女或爱浪漫的情侣入,5.0,1室,整租,2,188,//pics.muniao.com//UploadFiles/root/room/181177/thumb/aab489536cfe47f1a52d09cb1198a188.jpg_414_262.jpg,chengdu
春熙路 太古里旁 安静美丽的小房子,5.0,3室,整租,4,386,//pics.muniao.com//UploadFiles/root/room/161072/thumb/8afe92bd017347f9ad976fd3c5512b4a.jpg_414_262.jpg,chengdu
地铁1号线四河站/天府软件园/欧洲中心/春熙路/文殊院/交通便利/可做饭,4.6,1室,整租,2,280,//pics.muniao.com//UploadFiles/root/room/149401/thumb/9dbb81177358427fbd01cc437d09c1ae.jpg_414_262.jpg,chengdu
武侯祠、宽窄巷子简约商务双人房,4.6,1室,整租,2,128,//pics.muniao.com//UploadFiles/root/room/147114/thumb/0d16670e248743a3ac59d82522e277f7.jpg_414_262.jpg,chengdu
华西医院、四川大学精品单人间,4.6,1室,整租,2,88,//pics.muniao.com//UploadFiles/root/room/147110/thumb/da50bde0ffd24aec9fba0e7f96c627f3.jpg_414_262.jpg,chengdu
托普学院附近精装三居室,5.0,3室,整租,8,268,//pics.muniao.com//UploadFiles/root/room/146750/thumb/a97b056e14b74572ba67a95d28c0e158.jpg_414_262.jpg,chengdu
【The House雅居】亲子•近夜猫子夜市.宽窄巷子.奎星楼街,4.9,2室,整租,3,228,//pics.muniao.com//UploadFiles/thumb/image/20170927/cf3e6036abed44c19c660b74f6049fc220170927224306458.jpg_414_262.jpg,chengdu
二环内双地铁&快速公交|古色品质雅居三居室,5.0,3室,整租,4,860,//pics.muniao.com//UploadFiles/root/room/132716/thumb/89bc5292e5eb4c4e9b367a84f5207379.jpg_414_262.jpg,chengdu
平乐古镇临江花园洋园二居套房出租，可做饭,5.0,2室,整租,4,358,//pics.muniao.com//UploadFiles/root/room/131524/thumb/359b9da31c084e118330ed533187f972.jpg_414_262.jpg,chengdu
思佳雅居 A大隐 唯美三居 高性价比,5.0,3室,整租,6,1000,//pics.muniao.com//UploadFiles/root/room/127915/thumb/d191fdb6509b4374bb3f41030c2100da.jpg_414_262.jpg,chengdu
青城山天然氧吧民宿,5.0,3室,整租,6,5280,//pics.muniao.com//UploadFiles/root/room/118053/thumb/affd29cf523143ecb4fb8645ee81c35b.jpg_414_262.jpg,chengdu
浪漫品味太古里 大自然的家 大床房,5.0,1室,整租,2,238,//pics.muniao.com//UploadFiles/root/room/113056/thumb/4245318ac744400cbe13da15f834cabc.jpg_414_262.jpg,chengdu
成都聚会趴日租聚会别墅,5.0,3室,整租,13,2760,//pics.muniao.com//UploadFiles/root/room/108697/thumb/298e54ec9d2c4718a1919a470cef81e2.jpg_414_262.jpg,chengdu
武侯祠锦里宽窄巷子舒适6居，有机麻哟,4.9,6室,整租,14,798,//pics.muniao.com//UploadFiles/thumb/image/20180913/5756ee23796245828349bc3fb7688de420180913003005846.jpg_414_262.jpg,chengdu
春熙路太古里 兰桂坊之上 舒适豪华一居,4.9,1室,整租,2,1059,//pics.muniao.com//UploadFiles/root/room/108578/thumb/d8d12c0d59644e7ab19ba86d0c5d031f.jpg_414_262.jpg,chengdu
武侯祠锦里地铁省骨科医院站旁大石南路2楼套一,5.0,1室,整租,2,248,//pics.muniao.com//UploadFiles/root/thumb/191224/dcbe479242344fb6ba12428ba0e34744.jpg_414_262.jpg,chengdu
武侯祠锦里体院地铁省骨科医院站10F安静一居,4.9,1室,整租,2,249,//pics.muniao.com//UploadFiles/root/thumb/230818/54390237089943c788555a23f04737fe.jpg_414_262.jpg,chengdu
春熙路 太古里 IFS之上公寓幻彩温馨二居,5.0,2室,整租,4,1398,//pics.muniao.com//UploadFiles/root/room/105395/thumb/fa32a4e14cba4aeca7112f88d6c39abc.jpg_414_262.jpg,chengdu
